rep_id,time,placement_policy,workload_size,vm_size,host_power,host_temperature
28,16:38:34,consolidation,large,large,81.9088547723,28.5108562914
28,16:38:35,consolidation,large,large,80.5296510254,28.8641923796
28,16:38:36,consolidation,large,large,71.6801150069,28.889556707
28,16:38:37,consolidation,large,large,75.4532876281,28.5345519632
28,16:38:38,consolidation,large,large,74.2919358649,29.0763636888
28,16:38:39,consolidation,large,large,85.265404705,28.814756465
28,16:38:40,consolidation,large,large,72.0713053114,29.1015979505
28,16:38:41,consolidation,large,large,89.1209688563,28.9873998232
28,16:38:42,consolidation,large,large,81.6827715296,28.9093148576
28,16:38:43,consolidation,large,large,73.6570843916,29.4242178907
28,16:38:44,consolidation,large,large,87.2135573377,28.926602652
28,16:38:45,consolidation,large,large,72.8805604101,29.2114753102
28,16:38:46,consolidation,large,large,88.5986395392,29.3236099254
28,16:38:47,consolidation,large,large,78.1115590924,28.5106171884
28,16:38:48,consolidation,large,large,86.3973723242,28.6284219403
28,16:38:49,consolidation,large,large,88.1322380826,29.3748536845
28,16:38:50,consolidation,large,large,87.1217397152,28.8548309842
28,16:38:51,consolidation,large,large,79.8224541935,29.0195460744
28,16:38:52,consolidation,large,large,119.385841186,29.2919232465
28,16:38:53,consolidation,large,large,117.705155457,28.9659246896
28,16:38:54,consolidation,large,large,113.670857149,28.5347044837
28,16:38:55,consolidation,large,large,126.219623265,28.5076332873
28,16:38:56,consolidation,large,large,120.732119452,29.4405441947
28,16:38:57,consolidation,large,large,124.024806247,29.4519351846
28,16:38:58,consolidation,large,large,113.396494258,28.7692154389
28,16:38:59,consolidation,large,large,124.582355676,29.4070683108
28,16:39:00,consolidation,large,large,123.893925979,28.5666321085
28,16:39:01,consolidation,large,large,114.491843019,29.0565990942
28,16:39:02,consolidation,large,large,124.154280658,29.3234648081
28,16:39:03,consolidation,large,large,117.25455857,29.2375390566
28,16:39:04,consolidation,large,large,117.124551466,29.4691632656
28,16:39:05,consolidation,large,large,117.752492067,28.5998024567
28,16:39:06,consolidation,large,large,125.74820197,28.9727678311
28,16:39:07,consolidation,large,large,128.171610788,28.9740427135
28,16:39:08,consolidation,large,large,122.361921756,28.5587770531
28,16:39:09,consolidation,large,large,117.963798495,28.7401582262
28,16:39:10,consolidation,large,large,128.044234226,29.4400237739
28,16:39:11,consolidation,large,large,111.838747104,29.1131733588
28,16:39:12,consolidation,large,large,121.326693868,29.3604458868
28,16:39:13,consolidation,large,large,130.70614567,29.4101282497
28,16:39:14,consolidation,large,large,130.638039372,29.4735840709
28,16:39:15,consolidation,large,large,134.55571721,28.6655611852
28,16:39:16,consolidation,large,large,139.502508901,28.5776656874
28,16:39:17,consolidation,large,large,139.708449638,29.2128774212
28,16:39:18,consolidation,large,large,134.339718095,28.8881305893
28,16:39:19,consolidation,large,large,138.085492816,28.8625780559
28,16:39:20,consolidation,large,large,134.173373693,28.5541905616
28,16:39:21,consolidation,large,large,135.509761179,29.2145917076
28,16:39:22,consolidation,large,large,139.183833622,29.1758999994
28,16:39:23,consolidation,large,large,139.833023191,29.0425196527
28,16:39:24,consolidation,large,large,130.317830406,29.0440887049
28,16:39:25,consolidation,large,large,135.919945237,28.9043530881
28,16:39:26,consolidation,large,large,138.946725322,29.3169641889
28,16:39:27,consolidation,large,large,132.557876538,29.1280296369
