rep_id,time,placement_policy,workload_size,vm_size,host_power,host_temperature
11,19:18:08,consolidation,large,small,86.3431903832,29.1627714027
11,19:18:09,consolidation,large,small,89.9009960291,28.8129355762
11,19:18:10,consolidation,large,small,80.2685455965,29.0950810971
11,19:18:11,consolidation,large,small,89.2797529761,29.0665253364
11,19:18:12,consolidation,large,small,86.3956729459,29.3021651621
11,19:18:13,consolidation,large,small,86.4559465895,29.4216862015
11,19:18:14,consolidation,large,small,75.8945322769,29.1962182631
11,19:18:15,consolidation,large,small,88.6376419722,28.8797040679
11,19:18:16,consolidation,large,small,76.9198682861,28.6664215546
11,19:18:17,consolidation,large,small,86.9861209378,28.7173317847
11,19:18:18,consolidation,large,small,72.5979817446,28.7582817891
11,19:18:19,consolidation,large,small,78.4380000689,28.6506674494
11,19:18:20,consolidation,large,small,72.8031234565,28.7176631073
11,19:18:21,consolidation,large,small,85.0802893484,28.6095248369
11,19:18:22,consolidation,large,small,79.3346406194,28.8952581507
11,19:18:23,consolidation,large,small,76.1552740111,29.1110707584
11,19:18:24,consolidation,large,small,73.1570786138,29.2859776941
11,19:18:25,consolidation,large,small,88.5415663933,29.1170211937
11,19:18:26,consolidation,large,small,74.6143115865,28.6246302635
11,19:18:27,consolidation,large,small,111.615613542,28.8164190171
11,19:18:28,consolidation,large,small,121.402130263,28.6824861709
11,19:18:29,consolidation,large,small,123.497432892,28.5369264738
11,19:18:30,consolidation,large,small,114.378027191,28.6282377902
11,19:18:31,consolidation,large,small,119.60618773,28.7093333968
11,19:18:32,consolidation,large,small,128.680893693,29.1876476788
11,19:18:33,consolidation,large,small,122.244485229,29.0101168734
11,19:18:34,consolidation,large,small,112.746006454,29.4347533378
11,19:18:35,consolidation,large,small,126.271571828,29.1445175783
11,19:18:36,consolidation,large,small,110.597134054,28.61331353
11,19:18:37,consolidation,large,small,125.690317604,29.2324020741
11,19:18:38,consolidation,large,small,126.025134555,29.0359032279
11,19:18:39,consolidation,large,small,120.384357145,28.9280640985
11,19:18:40,consolidation,large,small,111.38767431,29.3523649697
11,19:18:41,consolidation,large,small,129.797057434,29.0578519315
11,19:18:42,consolidation,large,small,129.649852892,28.5354002253
11,19:18:43,consolidation,large,small,112.197349644,29.047318223
11,19:18:44,consolidation,large,small,121.430836721,28.7295751817
11,19:18:45,consolidation,large,small,124.826838937,28.8063184003
11,19:18:46,consolidation,large,small,112.86993562,28.6343335033
11,19:18:47,consolidation,large,small,136.528150858,29.4182110741
11,19:18:48,consolidation,large,small,130.262194679,29.0712245092
11,19:18:49,consolidation,large,small,138.462851258,29.1928670752
11,19:18:50,consolidation,large,small,135.856529238,28.8772846717
11,19:18:51,consolidation,large,small,137.231825953,29.3934992131
11,19:18:52,consolidation,large,small,137.377458146,29.440042082
11,19:18:53,consolidation,large,small,134.113520256,28.602821973
11,19:18:54,consolidation,large,small,137.958166863,29.0650245707
11,19:18:55,consolidation,large,small,135.834181954,29.3176708581
11,19:18:56,consolidation,large,small,133.154699862,29.3449687228
11,19:18:57,consolidation,large,small,137.369196504,29.0000217666
11,19:18:58,consolidation,large,small,133.356379636,28.8726348904
11,19:18:59,consolidation,large,small,139.667087759,28.5191404242
11,19:19:00,consolidation,large,small,135.165639468,28.597945869
11,19:19:01,consolidation,large,small,133.17318545,29.0022765053
11,19:19:02,consolidation,large,small,130.887298199,29.3284258065
11,19:19:03,consolidation,large,small,133.7383412,28.8274309732
11,19:19:04,consolidation,large,small,132.923051975,29.3485384159
11,19:19:05,consolidation,large,small,132.547794352,28.6673958555
11,19:19:06,consolidation,large,small,134.010930257,29.4690707995
11,19:19:07,consolidation,large,small,136.314951434,28.866023024
