rep_id,time,placement_policy,workload_size,vm_size,host_power,host_temperature
5,18:21:24,consolidation,small,large,70.9936336526,29.4200333428
5,18:21:25,consolidation,small,large,85.9265781295,29.2884217119
5,18:21:26,consolidation,small,large,72.0484381924,28.9188448082
5,18:21:27,consolidation,small,large,79.0292409436,28.7362243416
5,18:21:28,consolidation,small,large,87.7796501769,29.1720433056
5,18:21:29,consolidation,small,large,87.8239737323,28.6269802818
5,18:21:30,consolidation,small,large,70.1220182448,28.5247476243
5,18:21:31,consolidation,small,large,83.5525403747,29.0103801993
5,18:21:32,consolidation,small,large,77.7237769303,28.5592162289
5,18:21:33,consolidation,small,large,80.7703560409,29.0882773795
5,18:21:34,consolidation,small,large,75.738532079,29.3442213496
5,18:21:35,consolidation,small,large,81.2688346506,28.7378496476
5,18:21:36,consolidation,small,large,75.5430932019,28.7198581653
5,18:21:37,consolidation,small,large,88.9077254291,28.5663386648
5,18:21:38,consolidation,small,large,75.9164406665,29.4620614052
5,18:21:39,consolidation,small,large,124.721537686,29.4314027993
5,18:21:40,consolidation,small,large,122.900571912,29.2360489331
5,18:21:41,consolidation,small,large,122.005257761,29.1039088783
5,18:21:42,consolidation,small,large,112.882448487,28.5804470444
5,18:21:43,consolidation,small,large,110.247062093,29.3619754462
5,18:21:44,consolidation,small,large,116.581431696,28.7897634315
5,18:21:45,consolidation,small,large,117.42740534,29.1035042738
5,18:21:46,consolidation,small,large,113.495340354,29.1139072448
5,18:21:47,consolidation,small,large,126.419280761,28.5581677611
5,18:21:48,consolidation,small,large,122.72903573,28.8287694616
5,18:21:49,consolidation,small,large,115.561846777,28.7220908321
5,18:21:50,consolidation,small,large,133.277086639,29.4911090051
5,18:21:51,consolidation,small,large,139.344776473,29.4069755118
5,18:21:52,consolidation,small,large,139.592044052,29.4988509647
5,18:21:53,consolidation,small,large,133.347095874,28.7279944594
5,18:21:54,consolidation,small,large,137.820319709,28.6884485299
5,18:21:55,consolidation,small,large,131.361162356,28.8366144604
5,18:21:56,consolidation,small,large,134.443285463,28.7242507113
5,18:21:57,consolidation,small,large,133.219967069,29.4453794765
5,18:21:58,consolidation,small,large,132.172689234,28.8629706333
5,18:21:59,consolidation,small,large,132.982211527,28.7540136959
5,18:22:00,consolidation,small,large,136.622844755,29.4453165795
5,18:22:01,consolidation,small,large,133.939967433,29.4218843063
5,18:22:02,consolidation,small,large,137.798936969,28.8645148501
5,18:22:03,consolidation,small,large,131.04233076,29.3280210858
5,18:22:04,consolidation,small,large,136.575348244,28.5644244072
5,18:22:05,consolidation,small,large,133.542655793,29.2042995094
5,18:22:06,consolidation,small,large,134.868259302,28.5039707533
