rep_id,time,placement_policy,workload_size,vm_size,host_power,host_temperature
24,20:27:11,consolidation,small,small,83.1302581704,29.405070469
24,20:27:12,consolidation,small,small,73.5461714929,29.2128066303
24,20:27:13,consolidation,small,small,78.4385555962,28.5615885803
24,20:27:14,consolidation,small,small,75.3066078209,28.9062770302
24,20:27:15,consolidation,small,small,71.1978712985,28.7532743688
24,20:27:16,consolidation,small,small,89.0070265985,29.1510481224
24,20:27:17,consolidation,small,small,80.2319385699,29.0225214866
24,20:27:18,consolidation,small,small,83.9889543894,29.3023913628
24,20:27:19,consolidation,small,small,77.8319524561,29.2109214371
24,20:27:20,consolidation,small,small,87.931370774,29.0225351821
24,20:27:21,consolidation,small,small,81.3888757136,29.3441714422
24,20:27:22,consolidation,small,small,85.9139171898,29.2155570827
24,20:27:23,consolidation,small,small,89.9289572202,28.9647814389
24,20:27:24,consolidation,small,small,76.1450204443,28.7149861068
24,20:27:25,consolidation,small,small,88.6641746323,28.7072914539
24,20:27:26,consolidation,small,small,115.514931174,28.8401928644
24,20:27:27,consolidation,small,small,114.317205934,29.2318362928
24,20:27:28,consolidation,small,small,119.431789181,29.3980995179
24,20:27:29,consolidation,small,small,123.132366896,28.6943523184
24,20:27:30,consolidation,small,small,127.051710606,29.4826595778
24,20:27:31,consolidation,small,small,128.261532443,28.9359689858
24,20:27:32,consolidation,small,small,126.89616768,28.7779890047
24,20:27:33,consolidation,small,small,123.265188519,28.954151694
24,20:27:34,consolidation,small,small,118.056444792,28.7047647755
24,20:27:35,consolidation,small,small,119.765524438,29.1977113318
24,20:27:36,consolidation,small,small,111.836453651,28.5076602526
24,20:27:37,consolidation,small,small,117.074001975,28.6994464859
24,20:27:38,consolidation,small,small,122.108365683,29.2807020733
24,20:27:39,consolidation,small,small,122.465007224,28.6373446454
24,20:27:40,consolidation,small,small,112.391068822,28.9592926426
24,20:27:41,consolidation,small,small,139.623580314,28.690265186
24,20:27:42,consolidation,small,small,131.543925915,29.1961329598
24,20:27:43,consolidation,small,small,135.532917363,28.5334643239
24,20:27:44,consolidation,small,small,135.621040331,28.5952576378
24,20:27:45,consolidation,small,small,139.133619468,28.775352236
24,20:27:46,consolidation,small,small,131.238060805,29.2484188592
24,20:27:47,consolidation,small,small,136.452053378,29.3686706417
24,20:27:48,consolidation,small,small,132.966542602,29.4335157289
24,20:27:49,consolidation,small,small,139.478012371,29.4640521991
24,20:27:50,consolidation,small,small,138.710598319,29.1565038157
24,20:27:51,consolidation,small,small,134.402747424,28.6092065311
24,20:27:52,consolidation,small,small,138.373207402,29.3441150105
24,20:27:53,consolidation,small,small,139.761471276,29.411405317
24,20:27:54,consolidation,small,small,133.971527713,29.0702037918
24,20:27:55,consolidation,small,small,137.520438349,29.0061235535
24,20:27:56,consolidation,small,small,135.689008851,28.5371607628
24,20:27:57,consolidation,small,small,138.772463812,28.5441162683
24,20:27:58,consolidation,small,small,137.59547569,29.2793259353
