rep_id,time,placement_policy,workload_size,vm_size,host_power,host_temperature
18,20:59:56,spread,large,large,121.735553019,26.5951848018
18,20:59:57,spread,large,large,120.718792048,27.025457141
18,20:59:58,spread,large,large,133.349535466,27.5658036068
18,20:59:59,spread,large,large,128.393778104,27.7455557156
18,21:00:00,spread,large,large,124.973901882,27.0813492719
18,21:00:01,spread,large,large,121.539603294,28.4981421131
18,21:00:02,spread,large,large,125.209571646,27.2009990591
18,21:00:03,spread,large,large,185.773861257,27.2985185831
18,21:00:04,spread,large,large,170.016159612,28.4861722892
18,21:00:05,spread,large,large,186.46391643,26.5503839337
18,21:00:06,spread,large,large,170.919188971,28.1801140399
18,21:00:07,spread,large,large,170.579141965,27.0062690161
18,21:00:08,spread,large,large,176.620423112,28.1199550832
18,21:00:09,spread,large,large,183.719001253,26.9246366779
18,21:00:10,spread,large,large,172.957489203,26.9041237941
18,21:00:11,spread,large,large,175.620866034,26.8309075739
18,21:00:12,spread,large,large,209.910816734,28.3043083282
18,21:00:13,spread,large,large,206.086225216,28.2850151449
18,21:00:14,spread,large,large,204.580262729,26.8188238349
18,21:00:15,spread,large,large,208.649283963,26.7719764894
18,21:00:16,spread,large,large,209.867182767,28.2429881616
18,21:00:17,spread,large,large,208.570092552,27.654774697
18,21:00:18,spread,large,large,200.189468497,26.700742056
