rep_id,time,placement_policy,workload_size,vm_size,host_power,host_temperature
11,00:23:49,spread,large,small,139.3507285,28.1187421348
11,00:23:50,spread,large,small,120.998235803,28.1510024503
11,00:23:51,spread,large,small,129.417330138,28.3175408901
11,00:23:52,spread,large,small,132.719479202,28.0410981798
11,00:23:53,spread,large,small,132.786165374,27.3659734847
11,00:23:54,spread,large,small,133.794360285,27.9436510136
11,00:23:55,spread,large,small,136.452190614,26.9456180875
11,00:23:56,spread,large,small,129.588495508,27.6525023415
11,00:23:57,spread,large,small,124.27490278,27.8794408219
11,00:23:58,spread,large,small,131.167275859,26.7650323755
11,00:23:59,spread,large,small,120.655867187,28.3552536978
11,00:24:00,spread,large,small,129.689082982,27.5581124327
11,00:24:01,spread,large,small,183.140589961,27.2144930889
11,00:24:02,spread,large,small,177.466729392,28.4679673092
11,00:24:03,spread,large,small,183.110548252,26.9645046232
11,00:24:04,spread,large,small,184.858768115,27.4007482711
11,00:24:05,spread,large,small,178.619450682,26.897732716
11,00:24:06,spread,large,small,184.347646415,27.2543689738
11,00:24:07,spread,large,small,173.411635624,27.0753607526
11,00:24:08,spread,large,small,179.632500206,28.4918831059
11,00:24:09,spread,large,small,174.367692668,28.3916839221
11,00:24:10,spread,large,small,178.539739163,26.8285728954
11,00:24:11,spread,large,small,180.664953827,28.2224729631
11,00:24:12,spread,large,small,180.036558126,26.9877964158
11,00:24:13,spread,large,small,173.823009352,27.5321679532
11,00:24:14,spread,large,small,189.20806007,28.3938371805
11,00:24:15,spread,large,small,206.867662711,28.3766421432
11,00:24:16,spread,large,small,202.570398277,28.4348928645
11,00:24:17,spread,large,small,208.19628172,28.3491323268
11,00:24:18,spread,large,small,203.593481865,28.2014739381
11,00:24:19,spread,large,small,209.791549374,27.290630971
11,00:24:20,spread,large,small,203.582489753,28.1265490139
11,00:24:21,spread,large,small,202.906675093,27.8521723227
11,00:24:22,spread,large,small,207.222968564,26.6536527684
11,00:24:23,spread,large,small,209.041766849,26.7362364906
