rep_id,time,placement_policy,workload_size,vm_size,host_power,host_temperature
15,23:51:33,spread,small,large,128.043673751,26.896116516
15,23:51:34,spread,small,large,129.471018246,27.5267968886
15,23:51:35,spread,small,large,129.56912467,28.4625049579
15,23:51:36,spread,small,large,139.45483196,26.8299952364
15,23:51:37,spread,small,large,136.957323818,27.7121620953
15,23:51:38,spread,small,large,128.454093471,26.9287924218
15,23:51:39,spread,small,large,130.826059331,26.9205703767
15,23:51:40,spread,small,large,188.586345392,27.8815539714
15,23:51:41,spread,small,large,179.528391748,28.4520084822
15,23:51:42,spread,small,large,188.007582022,27.8038223092
15,23:51:43,spread,small,large,171.079944807,27.4612160875
15,23:51:44,spread,small,large,175.180257126,27.0897254782
15,23:51:45,spread,small,large,173.514619419,28.4121057259
15,23:51:46,spread,small,large,186.220880866,26.6966368595
15,23:51:47,spread,small,large,209.386255713,28.4382342479
15,23:51:48,spread,small,large,201.254498173,28.3230394967
15,23:51:49,spread,small,large,200.865465403,26.9631565915
15,23:51:50,spread,small,large,204.249046302,27.1567421405
15,23:51:51,spread,small,large,204.274438893,27.5756445741
15,23:51:52,spread,small,large,207.596681322,26.7889174789
15,23:51:53,spread,small,large,202.748434457,28.3877216732
15,23:51:54,spread,small,large,209.228718946,27.771809713
