rep_id,time,placement_policy,workload_size,vm_size,host_power,host_temperature
7,11:19:22,spread,small,small,127.787589733,26.8705634925
7,11:19:23,spread,small,small,128.089864988,26.9610294943
7,11:19:24,spread,small,small,134.18269861,28.3801970789
7,11:19:25,spread,small,small,136.262189377,28.2297071732
7,11:19:26,spread,small,small,125.707616787,26.8838862953
7,11:19:27,spread,small,small,136.572013333,28.2227555415
7,11:19:28,spread,small,small,134.630539898,26.753102329
7,11:19:29,spread,small,small,124.457779693,27.3644950534
7,11:19:30,spread,small,small,133.938601707,27.1226926985
7,11:19:31,spread,small,small,181.187858192,27.5235108856
7,11:19:32,spread,small,small,182.739585748,28.0900973195
7,11:19:33,spread,small,small,183.610945433,27.9988210283
7,11:19:34,spread,small,small,174.535426677,28.3828626845
7,11:19:35,spread,small,small,177.87320171,27.8783396748
7,11:19:36,spread,small,small,186.272876927,27.2301509906
7,11:19:37,spread,small,small,189.252630838,26.5877921885
7,11:19:38,spread,small,small,201.162813629,28.0688925222
7,11:19:39,spread,small,small,209.721058905,27.2534556469
7,11:19:40,spread,small,small,205.108650544,27.2294129369
7,11:19:41,spread,small,small,207.622402589,27.0362169918
7,11:19:42,spread,small,small,204.319676601,26.6663324151
7,11:19:43,spread,small,small,209.491678556,27.8877304761
7,11:19:44,spread,small,small,208.214303661,27.8841312819
7,11:19:45,spread,small,small,200.504772923,27.5328388685
7,11:19:46,spread,small,small,204.469202638,28.302774574
